eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.000000e+00,4.782422e-01,100,100,48.150656,
1.25,1.000000e+00,4.688672e-01,100,100,48.578500,
1.50,1.000000e+00,4.717578e-01,100,100,48.057795,
1.75,1.000000e+00,4.530469e-01,100,100,48.480693,
2.00,1.000000e+00,4.544922e-01,100,100,48.329610,
2.25,1.000000e+00,4.488672e-01,100,100,48.342464,
2.50,1.000000e+00,4.531641e-01,100,100,48.250273,
2.75,1.000000e+00,4.210547e-01,100,100,48.267518,
3.00,1.000000e+00,4.053125e-01,100,100,48.284885,
3.25,9.803922e-01,3.910463e-01,100,102,48.369565,
3.50,9.708738e-01,3.431432e-01,100,103,48.302990,
3.75,9.009009e-01,3.224944e-01,100,111,48.390474,
4.00,9.174312e-01,3.081637e-01,100,109,48.342013,
4.25,7.874016e-01,2.264087e-01,100,127,48.315885,
4.50,6.756757e-01,1.823005e-01,100,148,48.350906,
4.75,5.747126e-01,1.351697e-01,100,174,48.383234,
5.00,4.201681e-01,9.903493e-02,100,238,48.482537,
5.25,2.304147e-01,4.288774e-02,100,434,48.140840,
